cities 	 steps 	  final path length
10000 	 2004 	  10744
9800 	 1880 	  11223
9600 	 1880 	  10844
9400 	 1880 	  10645
9200 	 2004 	  10162
9000 	 2004 	  10218
8800 	 2004 	  9832
8600 	 2004 	  9657
8400 	 2127 	  9434
8200 	 2127 	  9420
8000 	 1880 	  9382
7800 	 1880 	  9342
7600 	 1880 	  9179
7400 	 1859 	  8816
7200 	 1880 	  8972
7000 	 1880 	  8578
6800 	 1880 	  8672
6600 	 1748 	  8372
6400 	 1748 	  8207
6200 	 1811 	  7874
6000 	 1811 	  7844
5800 	 1811 	  7596
5600 	 1748 	  7350
5400 	 1748 	  7218
5200 	 1748 	  6813
5000 	 1748 	  6892
4800 	 1748 	  6770
4600 	 1716 	  6523
4400 	 1724 	  6617
4200 	 1748 	  6108
4000 	 1748 	  6222
3800 	 1724 	  5741
3600 	 1724 	  5497
3400 	 1728 	  5446
3200 	 1728 	  5298
3000 	 1716 	  5061
2800 	 1716 	  4693
2600 	 1716 	  4403
2400 	 1716 	  4488
2200 	 1716 	  4144
2000 	 1716 	  4113
1800 	 1716 	  3727
1600 	 608 	  3747
1400 	 1716 	  3424
1200 	 564 	  3177
1000 	 452 	  2913
800 	 483 	  2410
600 	 432 	  2005
400 	 432 	  1871
200 	 163 	  1302
